,index,id,station_name,open_date,status_code,fuel_type_code,ev_connector_types,ev_network,groups_with_access_code,access_days_time,street_address,city,zip,state,longitude,latitude,geometry,index_right,Tract,ZIP,County,ApproxLoc,TotPop19,CIscore,CIscoreP,Ozone,OzoneP,PM2_5,PM2_5_P,DieselPM,DieselPM_P,Pesticide,PesticideP,Tox_Rel,Tox_Rel_P,Traffic,TrafficP,DrinkWat,DrinkWatP,Lead,Lead_P,Cleanup,CleanupP,GWThreat,GWThreatP,HazWaste,HazWasteP,ImpWatBod,ImpWatBodP,SolWaste,SolWasteP,PollBurd,PolBurdSc,PolBurdP,Asthma,AsthmaP,LowBirtWt,LowBirWP,Cardiovas,CardiovasP,Educatn,EducatP,Ling_Isol,Ling_IsolP,Poverty,PovertyP,Unempl,UnemplP,HousBurd,HousBurdP,PopChar,PopCharSc,PopCharP,Child_10,Pop_10_64,Elderly65,Hispanic,White,AfricanAm,NativeAm,OtherMult,Shape_Leng,Shape_Area,AAPI,Median HH Income,n_ev,n_roads,n_highways,dist_to_rd,dist_to_hw,n_rd_buffer,n_hw_buffer
2845,2845,212220,AVUHSD QUARTZ HILL HS,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,6040 W Ave L,Lancaster,93536,CA,-118.23906,34.65968,POINT (-118.23906 34.65968),1929,6037901205,93536,Los Angeles,Lancaster,10783,13.4904778,21.67170953,0.06236471,88.69943995,6.705407097,5.675171126,0.01269529,4.754200373,0.0,0.0,1046.845703,64.59114779,173.5359014,3.1625,590.1446213,68.15286624,26.07437535,19.0926276,2.0,25.6252333,0.0,0.0,0.11,19.24553276,0.0,0.0,0.0,0.0,24.16871383,2.950995158,7.417548227,57.76,66.52542373,4.6,41.14703618,13.66,58.28763709,7.5,32.1564161,2.6,20.58465286,26.9,48.44221106,4.8,41.8401874,11.6,21.07731305,44.07009421,4.571501166,41.21280888,11.8613,75.8972,12.2415,25.9761,46.5826,19.8368,0.0,2.337,28971.4022138,49333749.2926,5.2676,76971.0,3,453,7.0,67.95674422108102,4664.276463658219,35,
2846,2846,212221,AVUHSD SOAR PREP JHS,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,6300 W Ave L,Lancaster,93536,CA,-118.243262,34.659695,POINT (-118.243262 34.659695),1929,6037901205,93536,Los Angeles,Lancaster,10783,13.4904778,21.67170953,0.06236471,88.69943995,6.705407097,5.675171126,0.01269529,4.754200373,0.0,0.0,1046.845703,64.59114779,173.5359014,3.1625,590.1446213,68.15286624,26.07437535,19.0926276,2.0,25.6252333,0.0,0.0,0.11,19.24553276,0.0,0.0,0.0,0.0,24.16871383,2.950995158,7.417548227,57.76,66.52542373,4.6,41.14703618,13.66,58.28763709,7.5,32.1564161,2.6,20.58465286,26.9,48.44221106,4.8,41.8401874,11.6,21.07731305,44.07009421,4.571501166,41.21280888,11.8613,75.8972,12.2415,25.9761,46.5826,19.8368,0.0,2.337,28971.4022138,49333749.2926,5.2676,76971.0,3,453,7.0,47.111397039065835,5088.011695460478,29,
2847,2847,212222,AVUHSD HIGHLAND HS #2,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,24 hours daily,39055 25th St W,Palmdale,93551,CA,-118.175604,34.593201,POINT (-118.175604 34.593201),1287,6037910207,93551,Los Angeles,Palmdale,6033,18.48487596,33.90065557,0.06236471,88.69943995,7.567773362,10.04355943,0.047548546,16.88861232,0.0,0.0,4535.853923,91.36034009,816.8628096,45.3625,402.7546973,43.77419758,30.84513102,24.96534342,0.0,0.0,0.0,0.0,0.16,28.29913964,0.0,0.0,0.0,0.0,28.64444204,3.497480684,15.04667082,51.51,58.53688933,4.42,36.4126251,15.95,71.29860419,11.4,46.50721336,6.0,43.2940858,23.3,41.24371859,8.1,76.05413847,12.4,25.32319392,50.95025478,5.285197441,51.82803833,13.4925,75.9821,10.5254,41.6045,28.9408,15.0837,0.1492,2.5195,10134.679114,4434758.85841,11.7023,95821.0,2,170,2.0,160.77518176091488,1156.331857275829,160,
2848,2848,212223,AVUHSD HIGHLAND HS #1,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,24 hours daily,39055 25th St W,Palmdale,93551,CA,-118.175613,34.593247,POINT (-118.175613 34.593247),1287,6037910207,93551,Los Angeles,Palmdale,6033,18.48487596,33.90065557,0.06236471,88.69943995,7.567773362,10.04355943,0.047548546,16.88861232,0.0,0.0,4535.853923,91.36034009,816.8628096,45.3625,402.7546973,43.77419758,30.84513102,24.96534342,0.0,0.0,0.0,0.0,0.16,28.29913964,0.0,0.0,0.0,0.0,28.64444204,3.497480684,15.04667082,51.51,58.53688933,4.42,36.4126251,15.95,71.29860419,11.4,46.50721336,6.0,43.2940858,23.3,41.24371859,8.1,76.05413847,12.4,25.32319392,50.95025478,5.285197441,51.82803833,13.4925,75.9821,10.5254,41.6045,28.9408,15.0837,0.1492,2.5195,10134.679114,4434758.85841,11.7023,95821.0,2,170,2.0,154.5555033393658,1150.1139182134034,162,
2849,2849,212224,AVUHSD PALMDALE HS #1,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,24 hours daily,2137 E Ave R,Palmdale,93550,CA,-118.088359,34.57379,POINT (-118.088359 34.57379),682,6037910602,93550,Los Angeles,Palmdale,4433,29.7909871,58.29551185,0.06236471,88.69943995,7.800967181,11.69881767,0.121426306,43.79589297,0.0,0.0,7171.846802,95.39884971,609.6974013,29.1875,289.7986393,20.44461097,43.4548113,42.10459987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61080926,3.371274327,13.17983821,125.16,96.59770688,7.21,91.63459071,23.3,95.65054835,29.3,79.4229309,9.5,59.79158208,64.0,94.33417085,8.5,78.33159813,21.0,66.85678074,85.18751393,8.836714017,96.7473525,15.6553,75.8403,8.5044,62.0573,16.5802,15.3846,1.7595,0.2707,6489.49197049,1983001.90466,3.9476,41538.0,2,114,1.0,143.6061010591579,848.0985357595314,63,
2850,2850,212225,AVUHSD PALMDALE HS #2,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,24 hours daily,2137 E Ave R,Palmdale,93550,CA,-118.088351,34.573586,POINT (-118.088351 34.573586),682,6037910602,93550,Los Angeles,Palmdale,4433,29.7909871,58.29551185,0.06236471,88.69943995,7.800967181,11.69881767,0.121426306,43.79589297,0.0,0.0,7171.846802,95.39884971,609.6974013,29.1875,289.7986393,20.44461097,43.4548113,42.10459987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61080926,3.371274327,13.17983821,125.16,96.59770688,7.21,91.63459071,23.3,95.65054835,29.3,79.4229309,9.5,59.79158208,64.0,94.33417085,8.5,78.33159813,21.0,66.85678074,85.18751393,8.836714017,96.7473525,15.6553,75.8403,8.5044,62.0573,16.5802,15.3846,1.7595,0.2707,6489.49197049,1983001.90466,3.9476,41538.0,2,114,1.0,116.02275431148715,875.6872225383479,62,
2851,2851,212226,AVUHSD EASTSIDE HS 1,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,3200 East Ave J8,Lancaster,93535,CA,-118.068703,34.681498,POINT (-118.068703 34.681498),1291,6037900508,93535,Los Angeles,Lancaster,4016,21.35438366,40.7211296,0.06236471,88.69943995,6.660219172,5.600497822,0.041640026,14.94710641,0.0,0.0,7711.023519,95.9739935,254.2599802,6.1375,253.6198164,11.87710753,38.76639329,35.28670447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54352914,2.630460629,4.405724953,154.47,99.10269192,9.98,99.47395432,23.65,96.36091725,18.1,61.47810681,4.9,36.97388009,44.3,75.11306533,4.7,40.60385216,23.9,76.86945501,78.26009652,8.118115672,90.67070096,16.26,76.3197,7.4203,47.5847,25.3237,21.0906,0.1245,4.3327,8154.54998271,3985675.54009,1.5438,71458.0,2,100,1.0,83.73094502320211,854.658137719479,19,
2852,2852,212227,AVUHSD EASTSIDE HS 2,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,3200 East Ave J8,Lancaster,93535,CA,-118.068699,34.681498,POINT (-118.068699 34.681498),1291,6037900508,93535,Los Angeles,Lancaster,4016,21.35438366,40.7211296,0.06236471,88.69943995,6.660219172,5.600497822,0.041640026,14.94710641,0.0,0.0,7711.023519,95.9739935,254.2599802,6.1375,253.6198164,11.87710753,38.76639329,35.28670447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54352914,2.630460629,4.405724953,154.47,99.10269192,9.98,99.47395432,23.65,96.36091725,18.1,61.47810681,4.9,36.97388009,44.3,75.11306533,4.7,40.60385216,23.9,76.86945501,78.26009652,8.118115672,90.67070096,16.26,76.3197,7.4203,47.5847,25.3237,21.0906,0.1245,4.3327,8154.54998271,3985675.54009,1.5438,71458.0,2,100,1.0,83.28572232922447,854.6533036104136,19,
2853,2853,212228,AVUHSD LITTLE ROCK HS1,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,10833 E Avenue R,Littlerock,93543,CA,-117.935904,34.573673,POINT (-117.935904 34.573673),2155,6037910001,93591,Los Angeles,Palmdale,6345,31.14560021,60.95562279,0.06350576,91.05164904,7.239347731,8.027380212,0.002210568,0.87118855,0.0,0.0,1466.217977,72.64316079,271.5586487,6.8375,373.3543575,39.01586112,54.84531929,58.43730309,0.0,0.0,0.0,0.0,0.1,16.63798809,0.0,0.0,5.0,75.67010309,29.22754298,3.568677192,16.15432483,92.21,90.27916251,7.75,95.34257121,17.28,77.40528415,36.6,86.95267021,12.8,70.87562593,48.1,79.8241206,8.5,78.33159813,28.1,86.98352345,84.13459014,8.727491597,96.10438729,15.4925,72.9078,11.5997,67.4232,17.6044,9.9291,0.5201,1.7809,37736.211617,73726231.7951,2.7423,46576.0,2,303,,136.83041104139946,7116.539030479459,18,
2854,2854,212229,AVUHSD LITTLE ROCK HS2,2022-03-23,E,ELEC,['J1772'],ChargePoint Network,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,10833 E Avenue R,Littlerock,93543,CA,-117.935979,34.573673,POINT (-117.935979 34.573673),2155,6037910001,93591,Los Angeles,Palmdale,6345,31.14560021,60.95562279,0.06350576,91.05164904,7.239347731,8.027380212,0.002210568,0.87118855,0.0,0.0,1466.217977,72.64316079,271.5586487,6.8375,373.3543575,39.01586112,54.84531929,58.43730309,0.0,0.0,0.0,0.0,0.1,16.63798809,0.0,0.0,5.0,75.67010309,29.22754298,3.568677192,16.15432483,92.21,90.27916251,7.75,95.34257121,17.28,77.40528415,36.6,86.95267021,12.8,70.87562593,48.1,79.8241206,8.5,78.33159813,28.1,86.98352345,84.13459014,8.727491597,96.10438729,15.4925,72.9078,11.5997,67.4232,17.6044,9.9291,0.5201,1.7809,37736.211617,73726231.7951,2.7423,46576.0,2,303,,136.94599721045623,7115.998047010546,18,
